Title,Description,Image URL
ANI-CANCER TEA,"Ingredients: Akebia Fruit, Oldenlandia, Chinese Lobelia, Licorice, Olong Tea, Cape Jasmine Fruit, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUBEBsNHsjNk4e7ekozjOKfklsceITLwSQ-0k4U0iqqJjwrZF06Hk-OI5BGuPcuLy3pWd_abSpYnZCyKyVixxWwvAhRrq4B0xL9Gmqdi5Xck1XChq_FOBfIxrgXHf7jIxljLjxgOHk4eHF3EmpYDv-Io_Qlj0j6obhXQh8C6JR70onj3XZNmkDDmD0hia3ywrxSwt-xw5lMjJ2ubIadxZntfnqmTDxziRTCNFJs=w1280
ANTI-STRESS SLEEPING TEA,"Ingredients: Ganoderma lucidum, Tuber Fleece flower Stem, Blighted Wheat, Red Dates, Licorice, Glossy Privet Fruit. | Health Benefits: Calm spirit and anti-insomnia. Suitable for people with mental stress and difficulties to fall asleep. | Directions for use: Take one bag each time, 1 or 2 times per day.",https://lh3.googleusercontent.com/sitesv/AA5AbUDA0iGCmvY_0kJaGfvnlRIQ5329ZalpXU_2j7nkzozjldHRDbJTpCj2wleAshtXetm1sNrcxL_8T2a4sThKVlBto3jObL71d9tTyftp4eV0GsPKHLiL1eW20YWgByOVINR3_Xum2tcEs1vsvmnMcSO3GPL_O0ghWwer4R8mi-eXmb-3Hgoqtrs1Fwepo_nu4B9i38Uw9sXv57DPy70WY6Gy9R_dUbYWcZKT=w1280
ANTI-VIRUS TEA,"Ingredients: Honeysuckle Flower, Dandelion, Isatidis Root, Astragalus Root, Reed Rhizome, Licorice, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUD9lYp01SdoUPuGBqHKebS_7QO5ThDNRRuGpBVoQcH9tNZLMh4pHwd5G-QOmj1QWj1t8ier64O6KVBBV1ko-IcYtQmiw6JthKhMnX8R0FuwJvHkelYBRRemc8187jsFYhUEwv75MtqKwh2d1vOeCTHPGXyUsWE32QoQ53QDg6FqGS5vxfkIa56Hs9CMHyeqNzJAhRdvlf-GuHbk7dp8n997fJXRShDJmjUfnsc=w1280
BALSAM PEAR TEA (BITTER MELON TEA),"Balsam Pear, also known as Bitter Melon or Bitter Gourd, is a herb and vegetable/fruit that is traditionally used for various illnesses. It helps to clear heat, nourish eyes, reduce bad breath, detoxify, lower blood sugar, control weight and anti-cancer. | Bitter melon has long been used by indigenous populations around the world to help treat diabetes-related conditions  Bitter melon contains a chemical that acts like insulin to help reduce blood sugar levels. | Research suggests that bitter melon contains certain compounds with cancer-fighting properties. | Several animal studies found that bitter melon may decrease cholesterol levels to support overall heart health. | Bitter melon makes an excellent addition to a weight loss diet, as it’s low in calories yet high in fiber.",https://lh3.googleusercontent.com/sitesv/AA5AbUCOQqpZCJ3EIR1XCFpLxdVyEKH7JOPiRyZyMaQM1HTOmgyJQ2Q93VKAwWFPrvLk7KtQeX-1Nz10ey52Ke3P1emSCUt74KmZrMn_gIP9lMN4pxSHv6OCYZnIbClwkN5kaxGZfBrA9SdGCdihpB-nuav003dsZ8dCTTQTyecghkn3x6fxfSBT8CxnouyC1rKXypThW3sv1w1GKTo9UITqty21iEM4iT58A85-Lio=w1280
BARLEY GRASS JUICE,"Barley grass is a source of potassium, dietary fiber, vitamin A, vitamin B1, B2, B3, B6, vitamin C, vitamin E (alpha tocopherol), vitamin K, thiamin, riboflavin, niacin,  pantothenic acid, iron, zinc, copper, manganese and selenium. It helps to maintain heathy body by strengthening of immune system, cleansing and detoxification of the body, protection from radiation and cellular damage, etc. | INGREDIENTS: Young Barley Grass. | INSTRUCTIONS: | Take one sachet each time, before or after meal, 1 or 2 times per day. | For the perfect barley grass juice: | 1. Empty one sachet of barley grass powder in to a cup. | 2. Add 150-200 ml of warm water (50°C) and stir well. | ------------------------------------------------------------- | Barley is a type of grain that’s considered the fourth most important cereal crop around the globe. Also known as barley leaves and barley greens, barley grass is the leaf of the barley plant. It has been studied extensively for its beneficial health effects and is often featured in green juices and supplements. | Some studies suggest that barley grass could help you maintain healthy blood sugar levels. | Adding barley grass to your diet is a great way to support heart health. | Barley grass is low in calories but high in fiber, making it a great addition to a healthy weight loss diet.",https://lh3.googleusercontent.com/sitesv/AA5AbUDSY1B8AMMeMftwzRCMG5RDMP4o1wc5OWCLersgMf7CFhJMtTdE0flirpQx-5wbywX2KWKS-DlfGSMur0sGPAPyVQYLYIROJmrRIrusjQIfWCjLLv70U2GiHbgx7r9S-bpW8DOEJd93-JJb-30NdGyBGJyHs82l8B9WyOlRbWym6hKn_JogK5sU5hi7hueRF_rbZWg1zky2GDQ-X9y7TcxviMvKLiXk2saV0vE=w1280
BLACK TEA,"Black tea is one of the most consumed beverages in the world. It comes from the Camellia sinensis plant and is often blended with other plants for different flavors, such as Earl Grey, English breakfast or chai. | Black tea offers a variety of health benefits because it contains antioxidants and compounds that can help reduce inflammation in the body. | Black tea  can  help to reduce the risk of coronary heart disease, strengthen bone, improve osteoporosi, anti-aging, improve digestion, strengthen cardiac muscle, lower the blood pressure and blood sugar, etc. | 10 Evidence-Based Health Benefits of Black Tea | Has Antioxidant Properties. Share on Pinterest. ... | May Boost Heart Health. ... | May Lower “Bad” LDL Cholesterol. ... | May Improve Gut Health. ... | May Help Reduce Blood Pressure. ... | May Help Reduce the Risk of Stroke. ... | May Lower Blood Sugar Levels. ... | May Help Reduce the Risk of Cancer.",https://lh3.googleusercontent.com/sitesv/AA5AbUDQe8P72wGEjKyRC6xHbY_SxhkxTTNV17MjeluadIn8lIt9M09IblXgbV9vXh0C_YP3Hdfy5cW4gVKdnnWupfQEswRRSbdeXg6SyzTF4Sbb4SnLQFHXjkU3dsxnQZ0MUWyBgF2pT0UzBgxYy5Dp1RHbhdsYS08foyk9iYSJ4aLZ04fQ5lZPCaZJst93C_ED5QCEnLbwXHbDK7XwWnW25SdbbG6YFnzuxdCYbCU=w1280
BLOOD CLEANING TEA,"[Ingredients] | Rhubarb, Immature Bitter Orange, Chrysanthemum flower, Tree Peony Bark. | [Actions] | To detoxify, clean heat, promote blood circulation, remove stasis, strengthen immune system, help metabolism. | [Indications] | Used for fatigue, weak immune system, joint and muscle pain, constipation, dark urine, acne.",https://lh3.googleusercontent.com/sitesv/AA5AbUBvPZSRQEP4psV_CUiNdcfM5J1xdWWdMTiB9Frwp-Gv9rOD4WlFGBb5zVf82GgRPpbPS5_59Zfe7-QqrKesLOazEGxzEKCQP2E0AT9WGrHpsNgxOg1LbASUE3rKaDXIBlCATLzdXfSHbZ9jjggBHZNmfIlCBbEulpZSIE430O3g-wNzWGyAnj3KdwhgSvu9nYP-e8PmGI1AAJR5wL46GngR4dXz2uIR4na5wtY=w1280
BLOOD TONIC TEA,"Blood Tonic Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Angelica Root, Rhizoma Chuanxiong, Radix Angelicae Dahuricae, Prepared Rehmannia Root, Red Date,Codonopsis Root, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUBnjIboO69p08zr5-LrpgZJkd1Ix09QIEveJcchmZ2VlDjpF1GtnWcbFJnAowSzAuoHzABNmfbww6ExhEBKTSUHixRMqSNi7cyUjjZEwfwUKZ_sEhUdPeBViv_BoJKQcVEfRhx2bda5pUOfrSazk9--EaIKnbhBs9bzfmqjUSkiSVUIfgDX7xVPGKxEc4-fLnI46atAboyON9T201RvjN7Z97iHXNb7v13ryIo=w1280
CASSIA TEA,"SACM Cassia Tea is made from pure natural Chinese herbs, formulated by the famous specialist based on Chinese medicine theory. It is rich in vitamins and amino acid. | [Ingredients] | Cassia Seeds, Chrysanthemum Flower, Honeysuckle Flower, Green Tea. | [Actions] | To clean the liver and nourish eyes, lower cholesterol, soften blood vessel, control water retention strengthen immune system and move the bowel. | [Indications] | Used for preventing swollen, stroke, hypertension and constipation.",https://lh3.googleusercontent.com/sitesv/AA5AbUA1ommzYY4cQjcuJlV-Ab3KMKFiid_dN5gV3PhthvTPLVdXqn_nLWM58GK3Jhk6mYRGCbspsvnDOFR-4jH_TXvZk8PVkbVm1nwP8BZEXHxz9ynlVGNOPuNHG5VW6Bn8uQy46kIbgrGw1xJfU86VsSo9ueNQfWnPV8gymZFdDRnmMvNnXJfJ1iRVKhD-ZIY-DjHaTvGEBZt4DAAe7M_MYqN80xm9M7hgFzPw1QI=w1280
CHRYSANTHEMUM PLUS TEA (XIA SANG JU),"Ingredients: Chrysanthemum Flower, Selfheal Spike Flower, Mulberry leaves. | Health benefit: It helps to clear heat and detoxify, remove damp and the body, and prevent sunstroke. | Suitable for: People with exogenous heat in the body, bitter mouth, sore throat, boil or acne in the skin.",https://lh3.googleusercontent.com/sitesv/AA5AbUCOuygqAjDiLDhCPM1cRA7v68Z0uFMmBmk7eG4v1I5PbDsFhK5M4QthmWPW-_x4F5O3ldvw1ESENNHC93XhhixF3zSQ9Ia9jmLUW9VXCUl8rrOhMh3dORjVB2odlltfsalsZti56coPNwjulRIp0uj8r-EJR33eVDKf2ieUfAjy1kJabqILb43nGDlC84jMYvFaX0NewxQVuDJ09Vs8UMm0R211fIXV7sS3AzA=w1280
CONSTIPATION TEA,"SACM Constipation Tea is made from pure natural Chinese herbs, and formulated by famous specialist after many years research. It can be used for heat constipation which manifests hard and dry feces, dark and short urine, dry and bad smelling mouth or insomnia. | [Ingredients] | Cistanche, Cassia Seed, Radish Seed, Green Tea. | [Actions] | To moist intestine, relax the bowels, clean heat and detoxify. | [Indications] | To be used for constipation of Middle-aged and old man and woman.",https://lh3.googleusercontent.com/sitesv/AA5AbUDCOaJFqjVF9hAehXrrQgpufx9KDQiE4p-MZ8y2tfuwrzCejrvWjSG_XTzHc1vgVFFH33fddI4Th4BNR05V2TOMrAvFvjbCLcWmwffogQXHVSt26TQ3QuHFcWvQDvP-N0jPqnb8FJfdSVuIwGKRN5d0q6VKZgGyq9eXZPu_AJlTWyXuXAJTnUvIu3nS6rUZEnwQeYsv07o46tT9QF7E7vo_LLlYAFL5RjDbO2o=w1280
COOLING TEA,"SACM Cooling Tea is made from pure natural Chinese herbs that be selected meticulously. It works mainly for expelling heat and wind. Regularly drinking can helps to detoxfy and expell heat and prevent sunstroke and thirsty. It is also good for sore or uncomfortable throat which happened in spring and autumn. | [Ingredients] | Lotus seeds, Bamboo leaves, Chrysanthemum Flower, Dandelion, Honeysuckle Flower, Cassia Seed, etc. | [Actions] | To strengthen the immunity to upper respiratory tract desease | [Indications] | It helps for detoxifying, preventing arteriosclerosis, preventing sunstroke and relieving sore throat.",https://lh3.googleusercontent.com/sitesv/AA5AbUDSR1e50x178TR6Zrg7i4VrJ9dtF0YNGM9728hFd8k_8xb4eklUg1yle3ZGcoE9-hpk8QGLqSl8YQlre95MY0efH1b-qjIomRqpimYwHHgbhkuqzIVjH1jWqzWJ2YmVSekVyYSG97IxoNnUU1_Hp3ZGw5oxFq1JSXbMbulyAPfHg6nfReVbgtIKueahmfHNN6wOJfPaNcCfB4H-3Rc1rYgEzb-Gk6Mb0CK6v8c=w1280
COUGHING TEA,"Ingredients: Radix Pseudostellariae, Perilla Leaves, Winter Mulbery Leaf, Perillae Stem. | Health benefit: It helps to promote the dispersing function of the lung, reduce phlegm, and relieve cough and asthma. | Suitable for: Any age people.",https://lh3.googleusercontent.com/sitesv/AA5AbUAVwGU5MN64xTf1hEZPytXu0HVXLJ8f9kWgMuHFZFN06t6qtLQH9ssgYtUZDQ8e-d_B28sTAMlkZJWo1cAZcRbEsG__V-Vzsax7sZ1LpHx_Dqcfdbcm_z85SnSQ59NbSBuYj2YgBoOr7yczGaAFs6JZ7ISIz_wq3MSi1Z_thFrjOhKzmaG7hiArRLwfVEw2-c5JT14dVU41oe6CKpcrI1lOLfYtyXF0F5PIxRU=w1280
DEALCOHOLIC TEA,"Dealcoholic Tea is formulated with Chinese herbs, which help to decompose the alcohol and protect liver. It can help to reduce the side effect caused by alcohol. | [Ingredients]  Hangzhou chrysanthemum, wild Radix Puerariae, Mulberry Seed, assia Seed and Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUBjjg3WHZ_tOnaSfhSCLYO6MgWrT9JbOkDCvLX-HZfp3l7zEshj1kj2-Zp-gS3h7ijwuot2ziDzJUUqnoHBwN_HXsE2LHY6gTuOgqL95RrYAbH_ICvx4roMrNVthR8zzGNt90d3EBn14JWQNKw-w-mmM05SBQJi1fm54Imffy0UOXHgLOeqAqcICnpwGfa6niOb54xdJa3kiWIidFTtMSPfJPoIhOcI1AO3Sgc=w1280
DETOX TEA,"SACM Detox Tea is made from pure natural Chinese herbs, formulated by the famous specialist after many years research, which can effectively clean the toxic substance inside the body. | [Ingredients] | Pharbitis Seed, Cassia Seed, Radish Seed, Lotus Seed, Rhubarb , Senna Leaves and Green Tea. | [Actions] | To clean the intestine, detoxify and nourish the facial skin. | [Indications] | For detoxifying, cleaning heat in the intestine and stomach, reducing bad smelling in the mouth.",https://lh3.googleusercontent.com/sitesv/AA5AbUCGZJSu7jLa5N0JfXcxJQNNGkgcUXMZXtqxjkyX89szQSs3sK6feI5-XqDDBaI30b3xCSI7CDGxuFotrbtsZOxvIe9qVoIG1379RniMw8oRaJiUPQc6Y5-cvxP0nItPfIy5RSNji3R3rq1TsnRQQDm9wy1oAFR6EIKnxO7D79-jnAAC2gBaedMNxXVjWaF0RmP7wUPDVM0cnG3cIcjrhc4Y8Rj2iEEefVd2=w1280
DIGESTIVE TEA,"Ingredients: Parched Malt, Parched Hawthorn Fruit, Parched Medicated Leaven. | Health benefit: Help for digestion. | Suitable for: Any age people.",https://lh3.googleusercontent.com/sitesv/AA5AbUAzqLaeIIKf4jo6As8TqgfK40flnbQvB8JE7U1HwVS6QWvg0LILn5xldjzke9YqSdIIdEk41wPv_tGkAYcqJwu5vxdazNJgdjblCdh0zQ0gKvbnXpih3luIVdHpeo8Ximb1zJoyghMto-Me_RXq5eQwPX0Fvhj3JgkI17oL5SJu5m2dAiDbNsZYKsnpX4-c08-5hMS4msTk2c9Pv1unQP0riBhqxtnjmDZc=w1280
FEMALE INFLAMATION TEA,"Female Inflamation Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Scabrous Gentian Root, Angelica Root, Amur Cork-Tree Bark, Atractylodis Rhizome, Atractylodis Lancea, Tangerine Peel, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUDMU_T51XGBBgM991qWUqIktQ_MtuquwGTVHHVc47L62XAPm5WLW7lv4Co9D05AqCUlMZM3wq6vDP0_AIsmHOkudL5qds3wBfdb9rMIssWOGuOuBzYKj3bBRdsW_DnsaEgBnouux8lykYZLwE1gn0gHRoPt_3uv32QllN641i6eC5jmL--ZJuXGqlTyZBp1i4Rmlmgz2ib7n9VqvdnenTjNzM4do1kGdSJULL8=w1280
FIVE SEEDS TEA,"Ingredients: Perilla Seeds, Radish Seeds, Cassia Seeds, Raisin Tree Seeds, Muskmelon Seeds. | Health benefit: Loosen the bowels to relieve constipation, nourish skin and detoxify. | Suitable for: People with constipation, which cause bad breath, abdominal | distension, acne, pigmentation and pimples.",https://lh3.googleusercontent.com/sitesv/AA5AbUDfAAJK954zrOtynwqW99KbnHw8mvo9qG7FOosI9xFN9pVjSKszuqB4D1diHDD7YNSxwVyjkLUe3hSSzNs4DiknQVNHASnXXfTby_lV5QutFTGJ5zBNBgsb29fT9exRt5TKqK_604WiaMBEfWmu_SFU4MVqUJvsLt6MMgGlUVlUXUb7eMZAAz3hgBdUtJZQmAzvkVak_tKVvx_OrTVkKtIbMhZ1auZAAHSjZMo=w1280
ABDOMEN SLIMMING TEA,"Abdominal Slim Tea is formulated with fruits, vegetables and high quality herbs which are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Tangerine Peel, Hawthorn Fruits, Wax Gourd Rind, Fried Cassia Seeds, Rhizoma Alismatis, Radix Polygoni Multiflori, Fructus Ligustri Lucidi, Lotus Leaves, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUCnDpi6L-ErodxLB8fdtWWc3A8GdHGocrfjH3YkCr5gMHrKQ_s5NgoMAfox43_-pjgFYf0CzOQZzWPuS3VBsoVJUbHQ-fRJsWcs3TV_-z4wp1ZR7AoN_VOdSV_kBXSDmQ7qtoCDy_vgAXtKNuUSArGzjnYaHLkujk-7Ev1T8LOIY4TPFe38qFXwY_X_2ILVlxjW0NoC8p2IAsjRuZi0gvK_YdepStO9sEVaiWM=w1280
GINKGO TEA,"SACM Ginkgo Tea is made from natural herbs, which rich in Ginkgetin, amino acid, protein and vitamins. It can reduce blood lipids, soften blood vessels and promote blood circulation in heart and brain vessels. | [Ingredients] | Ginkgo leaves, Cassia Seed, Green Tea. | [Actions] | To lower blood lipids, reduce cholesterol, soften blood vessels, lower blood pressure, and promote blood circulation in heart and brain, strengthen immune system. | [Indications] | For improving and preventing heart problem, stroke, brain thrombus, losing memory, concentration and Altheimers dementia.",https://lh3.googleusercontent.com/sitesv/AA5AbUBnR1gWmkXKAici5SeR_9JMak7L6bsbPEnJRNQV9p0cCE1HmUOFyWjEakyrOSujGktk6wOkWyTgUNwHRhUAzQYkIyq8tgpusXwXU8IiDV1dtqspcRSF-igBYYcmZ6mIp83Vam4strGKtZlb4brMmCGY6enq_sRa0QxYFqmiQVqHJhEMQV7L2Bx1W0VAZpDV0Cvf7mMqDLKgJt8BXqdDsbmRzQ5jC_jGg-2HoPo=w1280
GINSENG DATE TEA,"Ingredients: Ginseng Root, Astragalus Root, Wolfberry Fruit and Red Date. | Health benefit: Nourish Qi and blood, strengthen the body and enhance the immunity.Suitable for: Old weak people or people fatigued with work.",https://lh3.googleusercontent.com/sitesv/AA5AbUBMTy5lqB2Mqj_bGl745XTU2iP6WuU2Ge6_W126DNqh8xpU1jX_PPi5oOiTw_yNoaIoc3GboFnTVye5pmrxX8OpH_Ubq-8YOd2DPDMPkbWiszm9Fnm8eNYkGS5PPL_VhwsOgSG9HGHSoeSjDXNiKUhOAGgR8kuFl6B6WifAgFaW8NvnoKNjGaD5FTiX1iOC9jCOqp4Sp1lHUA7saJmLKA024iuUfRXHevZw=w1280
GINSENG TEA (SACHETS),"Honeyed Ginseng Tea is formulated with high quality ginseng, which is traditionally used forstrengthening immunity, enhancing mental and physicalfunction, improving erectile dysfunction and increasing a general sense of well-being. | [ingredients] Panax Ginseng, Radix Ophiopogonis, Cane Sugar and Honey.[Directions for use] Mix one sachet with 300-500 ml boiling water and drink warmly, 1 or 2 times daily.",https://lh3.googleusercontent.com/sitesv/AA5AbUBtMIH5ni-jn632bhTlU_sqw7eyIPfqEqs4vbbA5HtqNyxSOwRYJOmoqIZzOpLi5Kpaz4OMT_TeoHvge2wa7Ct8Uo1PodqylWubzhqOGxZ41fDxfjgEP_pOyg7n7HZ0SyzudojXKVYzI79sqCUiR9bblTwS4CXVr0VoPEVWLs-T56-bvSvW9edXqY0PSb0OASg_wzjwtDLraSsTmaoC0Swc2qNkZH54YqWn=w1280
GINSENG TEA (TEA BAGS),"SACM Ginseng Tea is made from high quality ginseng root and other natural Chinese herbs, which is formulated by the famous specialist based on Chinese medicine theory. | [Ingredients] | Ginseng Root, Milkvetch Root, Chinese Angelica. | [Actions] | To stimulate mental and physical activity, nourish blood, strengthen immune system. | [Indications] | Used for fatigue, inappetence, weak immunity, short breath, impotence, night sweat, chronic ulcer, stomach or and uterus prolapsus, and cold extremities",https://lh3.googleusercontent.com/sitesv/AA5AbUAweKP8FdlaD8jCw10l3wwPLL2Q7Nn0jwag2BOeEI2ombzr54LmK2ffG7ogNS7OIgomj2mU2jO0yegQayrBYTeiMPr2x9g_ba9p0EUkXU5xk9xReixZWo6IK5o8TTD_SP_AY02ZC7PqDDvD7seqesXTwi95oIxTgi8uTSKPli3QzNA5Kkba1YX_4DfUdTQYB5K2RbuyCfU2PRu8k-Ug0jFqisAqsw25wQl2=w1280
GREEN TEA,"Green tea has been used as a medicine in China for at least 4,000 years. Scientific research has provided hard evidence for the health benefits associated with drinking green tea. Drinking green tea reduces the risk of esophageal cancer in men and women by nearly sixty percent, inhibits the growth of cancer cells,lowers cholesterol levels, as well as improving the ratio of good (HDL) cholesterol to bad (LDL) cholesterol, etc. | Here are just a few medical conditions in which drinking green tea is helpful: | •cancer | •rheumatoid arthritis | •high cholesterol levels | •cariovascular disease | •infection | •impaired immune function",https://lh3.googleusercontent.com/sitesv/AA5AbUCJuNbqvpIXsCND4L6n5CEpK3HNXTkK3YAVoFSKayUnj32_MQym7qfRML97ZmpA4_i5UDOhb-CXgKB7IvhtDc2YPHkN0gkRMkTbK6LlqTGFgeJVN4SyiTgXK5A2JiwW5K3kaXVY3qATPAzZdzcrhXcJmaTvoHqd5OGaX3AUrUWuPYyKI3fAnzmVmgOl5GuwScJEefYe294IcIZ17X1JZ_WQwfgRZADdkpHb=w1280
GUAVA TEA,"Guava Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Guava Leaf, Bitter Gourd, Ophiopogon Tuber, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUAH0PvHjTNCFEvCeXXjvxqogq1CQDewYrtU6m7iE98RI4KrgEsRpD9xIxCJ4Zu98NP9rVPNFhwAFbpgdXRFMduWyUDO58gvq6tIDB8H5bHs8uZaA5UzJjDUy9oUfH5ys4FgzL_bg-Opn4FMucBiVnG4o58EoYER7POMznKh_XvIr70N5d8fgSDDO5IX-YnF-MFZS0cIIjI-kpWe33BJxA1N2BvXLaekA0h_vko=w1280
GYNOSTEMMA TEA,"Gynostemma pentaphyllum’s content is 3 times as ginseng. It helps for lowering the lipid peroxide, increasing the myocardial antioxidant enzymes, protect cardiac muscle, reduce the forming and developing of the arteriosclerosis plaque. | [Ingredients] Gynostemma Pentaphyllum.",https://lh3.googleusercontent.com/sitesv/AA5AbUBWZKkWSrzM2yzxjJn-mht8Z2Q-I6rCiwTXfke2pUskkgCfUCJrcUct8tIMynHNmA85sQWDtlmM-gUuvKxngdZJ7y-m2-lMn7PgrSqCWrsy_okNTjPpnYSaUsCmQ8DT2ikOM23VARhOWl7zb6doMsULRItkfMaqmZawo5trd-2XYDXeBfPLk_pDXPhZOJ67EKlHxolgrSloklsLugCYazUBPhMm--aE4IjT_w0=w1280
HEART CARE TEA,"Heart Care Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Salvia Miltiorrhiza, Panax Ginseng, Panax Notoginseng Flower, Rhizoma Chuanxiong, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUBvU1Zb5R-FmilSHip7AD_d4zjbqPIv4txIkdY4yQkm1QKSnHNLu0som9zbRRToMxcbAx0hu4jiq5ufhiS9uDdt_-MdzHcX-VpIQgjlzcvgPdILclktu_1_UEgY6-1cHAPCqsz4LTbnT8Z8wcH41pwvQeHPSdzGOY7yM7GgpDoJHxDmmoDG1qpz8NhARijkWelmNRpVhWcLOf7_NDFGk9p25W5MCDaSYADipho=w1280
HYPERTENSION TEA,"SACM Hypertension Tea is a kind of Chinese herbal tea, which is made from high quality Chinese herbs, formulated with high technology, under the direction of Chinese Medicine theory. | It is effective for lowering the level of Serum NE and 5-HT，reducing the blood Lipids, hindering fat-absorbing in the intestine and fat-synthesis in the liver, inhibiting the cholesterol accumulation in blood vessel. The effect is obvious and long lasting. So it is a good product for old people for lowering blood pressure and lipids. | [Ingredients] | Cassia Seed, Hawthorn Fruit, Lotus leaves, Chrysanthemum Flower, Green Tea. | [Actions] | To lower blood pressure, lower Cholesterol. | [Indications] | To be used for hypertension of middle-aged and old people.",https://lh3.googleusercontent.com/sitesv/AA5AbUBUBHozCbxpE4k3fc44_hi-I5hl2fKzFSom1U_F6B6NCVlPb1TORZ21cOj4WN5DoCIyZasXkLTE0n2LZ-XinFYyU9fz8HAtplJvDYl4_ParLj0AuK2aVSncdh8_8DVn6miaTk6LgHy0cFhuRNz12AOQzxg1g-GeYcL2amsrAvhrN2A7_0ssNV0uxjtlBHQFBWdXw81-svWyA9fcf_5mWGmlXL5HCbYKOTYl7Ds=w1280
JOINT CARE TEA,"Joint Care Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Rhizoma Cibotii, Acanthopanacis Root Bark, Radix Millettiae Speciosae, Flemingia prostrata,  Scurf Pea Berry,   Fennel Fruit, Salted Eucommia Bark, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUDydm15oaXp9mPuZT738Q2gGm0V_77P4sNhZfXidi2Z8FR_ePzxCL9_t2UqiFoYpY7g_KGk2TdJA2VH9NPgAdAG3zWG-ey1APlUp3JtKmrPq1CuOIkGbM4C0P6ppQ80q9_Bltr8_p5D1XOnQOj-aXZRur066hftf31wr6qLTfLoLfQ9ZkTjkF1uBFXRf7IK_6fH9KJjr0IPgbphncevtBSH3N_1dt7WLNOT=w1280
KIDNEY CARE TEA,"Kidney Care Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Morinda Root, Cistanche, Salted Eucommia Bark, Psoraliae Fruit, Epimedium,  Cinnamon Bark, Fried Ginger, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUAfjpqJFm5pL-xPAenZkMbO7vIfyjBvGCmnC7Jm_KFMfj2jUL0YSz9_pf8zjPWZrDASr2E7X2yfNxCvFfQcygj-C4GLCtW9kJ7UEUyAio9tLD-d5FNPQrrDixoZI3W6OQJg-AEpxT5tgEKHE4eEg4iiPaJvpaSR-I3_BQRaXcbZrWKOwJ3FsPTOGoz-WOIffLR9R0q3bWB5QF0WRFUkz44JAwdZcZ2ZaSDwA0s=w1280
